Строка;Было;Стало;Действие;Вердикт сверки;Наименование
1205;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 2пол. тип AC 40A 100mA F202 AC-40/0,1 ABB
1209;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 2пол. тип AC 63A 300mA F202 AC-63/0,3 ABB
1211;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 4пол. F204 AC-40/0,1 ABB
1215;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 4пол. тип AC 40A 300mA F204 AC-40/0,3 ABB
1218;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 4пол. тип AC 63A 100mA F204 AC-63/0,1 ABB
1219;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 4пол. тип AC 63A 300mA F204 AC-63/0,3 ABB
1222;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 4пол. тип AC 80A 300mA F204 AC-80/0,3 ABB
1223;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 4пол. тип AC 100A 300mA F204 AC-100/0,3 ABB
1224;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Устройство защитного отключения 4пол. тип AC 125A 300mA F204 AC-125/0,3 ABB
1342;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D63-22C10-A-УХЛ4 (2Р, С10, 30mA)
1343;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D63-22C16-A-УХЛ4 (2Р, С16, 30mA)
1344;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D63-22C20-A-УХЛ4 (2Р, С20, 30mA)
1345;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D63-22C25-A-УХЛ4 (2Р, С25, 30mA)
1346;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D63-22C32-A-УХЛ4 (2Р, С32, 30mA)
1347;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D63-22C40-A-УХЛ4 (2Р, С40, 30mA)
1348;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D6322C16AУЗ 6кА (2Р, С16, 30mA)
1349;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D63-22C20-A-УЗ 6кА (2Р, С20, 30mA)
1350;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D63-22C25-A-УЗ 6кА (2Р, С25, 30mA)
1351;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D63-22C32-A-УЗ 6кА (2Р, С32, 30mA)
1352;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;АВДТ с защитой от сверхтоков OptiDin D63-22C40-A-УЗ 6кА (2Р, С40, 30mA)
1353;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель нагрузки модульный OptiDin BM63PL-120-УХЛ3 (ВМ63P)
1354;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель нагрузки модульный OptiDin BM63PL-132-УХЛ3 (ВМ63PL)
1355;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель нагрузки модульный OptiDin BM63PL-140-УХЛ3 (ВМ63PL)
1356;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель нагрузки модульный OptiDin BM63PL-3100-УХЛ3 (ВМ63PL)
1357;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель нагрузки модульный OptiDin BM63PL-3125-УХЛ3 (ВМ63PL)
1358;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель нагрузки модульный OptiDin BM63PL 380 УХЛ3 (ВМ63PL)
1359;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель нагрузки модульный OptiDin BM63PL 363 УХЛ3 (ВМ63PL)
1360;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель нагрузки модульный OptiDin BM63PL 350 УХЛ3 (ВМ63PL)
1361;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель нагрузки модульный OptiDin BM63PL 340 УХЛ3 (ВМ63PL)
1362;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель нагрузки модульный OptiDin BM63PL 332 УХЛ3 (ВМ63PL)
1363;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1C10 УХЛ3
1364;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1C16 УХЛ3
1365;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1C20 УХЛ3
1366;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1C25 УХЛ3
1367;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1C32 УХЛ3
1368;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1C40 УХЛ3
1369;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1C50 УХЛ3
1370;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1C63 УХЛ3
1371;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1B6 УХЛ3
1372;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1B10 УХЛ3
1373;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1B16 УХЛ3
1374;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1B20 УХЛ3
1375;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 1B25 УХЛ3
1376;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 3C16 УХЛ3
1377;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 3C20 УХЛ3
1378;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 3C25 УХЛ3
1379;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 3C32 УХЛ3
1380;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 3C40 УХЛ3
1381;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 3C50 УХЛ3
1382;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 3C63 УХЛ3
1383;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 3C80 УХЛ3
1384;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Выключатель автоматический модульный OptiDin BM63 3C100 УХЛ3
